Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2019-W22,,X,,,,,,,X,X,,,,,,,X
2019-W23,,X,,,,,,,X,X,,,,,,,X
2019-W24,,X,,,,,,,X,X,,,,,,,X
2019-W25,,X,,,,,,,,X,,,,,,,X
2019-W26,,X,,,,,,,,X,,,,,,,X
2019-W27,,X,,,,,,,X,X,,,,,,,X
2019-W28,,X,,,,,,,X,X,,,,,,,X
2019-W29,,X,,,,,,,X,X,,,,,,,X
2019-W30,,X,,,,,,,,X,,,,,,,X
2019-W31,,X,,,,,,,,X,,,,,,,X
2019-W32,,X,,,,,,,,X,,,,,,,X
2019-W33,,X,,,,,,,,X,,,,,,,X
2019-W37,,X,,,,,,,,,,,,,,,X
2019-W38,,X,,,,,,,,,,,,,,,X
2019-W39,,X,,,,,,,X,,,,,,,,X
2019-W40,,X,,,,,,,,,,,,,,,X
2019-W41,,X,,,,,,,,,,,,,,,X
2019-W42,,X,,,,,,,,,,,,,,,X
2019-W43,X,,X,,,,,,,,,,,,,,
2019-W44,,X,,,,,,,,,,,,,,,X
2019-W45,,X,,,,,,,,,,,,,,,X
2019-W46,,X,,,,,,,,,,,,,,,X
2019-W47,,X,,,,,,,,,,,,,,,X
2019-W48,,X,,,,,,,,X,,,,,,,X
2019-W49,,X,,,,,,,,X,,,,,,,X
2019-W50,,X,,,,,,,,X,,,X,,,,X
2019-W51,,X,,,,,,,X,X,,,,,,,X
2020-W01,,X,,,,,,,X,X,,,,,,,X
2020-W02,,X,,,,,,,X,X,,,,,,,X
2020-W03,,X,,,,,,,X,X,,,,,,,X
2020-W04,,X,,X,,,,,X,,,,,,,,X
2020-W05,,X,,,,,,,X,X,,,,,,,X
2020-W06,,X,,,,,,,X,,,,X,,,X,X
2020-W08,,X,,,,,,,X,,,,,,,,X
2020-W09,,X,,,,,,,X,,,,,,,,X
2020-W10,,X,,,,,,,X,X,,,,,,,X
2020-W11,,X,,,,,,,X,,,,,,,,X
2020-W12,,X,,,,,,,X,X,,,,X,,,X
2020-W13,,X,,,,,,,,X,,,,,,,X
2020-W14,,X,,,,,,,,X,,,,,,,X
2020-W15,,X,,,,,,,,X,,,,,,,X
2020-W16,,X,,,,,,,X,X,,,,,,,X
2020-W17,,X,,,,,,,X,X,,,,,,,X
2020-W18,,X,,,,,,,X,X,,,,X,,,X
2020-W19,,X,,,,,,,X,X,,,,X,,,X
2020-W20,,X,,,,,,,X,X,,,,,,,X
2020-W21,,X,,,,,,,X,X,,,,X,,,X
2020-W22,,X,,,,,,,X,X,,,,X,,,X
2020-W23,,X,,,,,,,X,X,,,,,,,X
2020-W24,,X,,,,,,,X,X,,,,X,,,X
2020-W25,,X,,,,,,,X,X,,,,X,,,X
2020-W26,,X,,,,,,,,X,,,,X,,,X
2020-W27,,X,,,,,,,,X,,,,X,,,X
2020-W28,,X,,,,,,,,X,,,,,,,X
2020-W29,,X,,,,,,,,X,,,,,,,X
2020-W30,,X,,,,,,,,,,,,,,,X
2020-W36,,X,,,,,,,,,,,,,,,
2020-W37,,X,,,,,,,,,,,,,,,
2021-W05,,X,,,,X,,,,X,,,,,,,X
2021-W06,,X,,,,X,,,,X,,,,,,,X
2021-W07,,X,,,,X,,,,X,,,,,,,X
2021-W08,,X,,,,X,,,,X,,,,,,,X
2021-W09,,X,,,,X,,,,X,,,,,,,X
2021-W10,,X,,,,X,,,,,,,,,,,X
2021-W11,,X,,,,X,,,,X,,,,,,,X
2021-W12,,X,,,,X,,,,X,,,,,,,X
2021-W13,,X,,,,X,,,,X,,,,,,,X
2021-W14,,X,,,,X,,,,X,,,,,,,X
2021-W15,,X,,,,X,,,,X,,,,,,,X
2021-W16,,X,,,,X,,,,X,,,,,,,X
2021-W18,,X,,,,X,,,,X,,,,,,,X
2021-W19,,X,,,,X,,,,X,,,,,,,X
2021-W20,,X,,,,X,,,,X,,,,,,,X
2021-W21,,X,,,,X,,,,X,,,,,,,X
2021-W22,,X,,,,X,,,,X,,,,,,,X
2021-W23,,X,,,,X,,,,X,,,,,,,X
2021-W24,,X,,,,X,,,,X,,,,,,,X
2021-W25,,X,,,,X,,,,X,,,,,,,X
2021-W26,,X,,,,X,,,,X,,,,,,,X
2021-W27,,X,,,,X,,,,X,,,,,,,X
2022-W09,,X,,,,X,,,X,X,,,,,,,X
2026-W22,,X,,,,X,,,,X,,,,,,,X
